@relation 30_10_5_10_5_1000

@attribute A1 {d,b,a,e,c,j,g,f,i,h}
@attribute A2 {i,f,d,e,a,c,b,g,j,h}
@attribute A3 {h,b,g,a,i,f,j,d,e,c}
@attribute A4 {h,f,d,i,b,c,a,e,j,g}
@attribute A5 {g,b,j,i,f,e,h,d,a,c}
@attribute A6 {f,g,c,j,i,a,d,e,h,b}
@attribute A7 {c,e,h,b,a,j,i,g,d,f}
@attribute A8 {a,c,e,g,d,h,i,j,b,f}
@attribute A9 {f,g,d,h,i,a,j,c,b,e}
@attribute A10 {f,c,b,e,j,d,a,h,i,g}
@attribute A11 {c,a,d,j,f,h,e,i,b,g}
@attribute A12 {c,g,j,i,h,d,f,e,b,a}
@attribute A13 {b,i,g,d,a,c,h,e,j,f}
@attribute A14 {d,g,f,j,b,e,c,a,i,h}
@attribute A15 {i,h,b,a,d,e,g,j,c,f}
@attribute A16 {g,a,c,b,e,i,f,d,h,j}
@attribute A17 {e,h,f,g,b,a,j,i,d,c}
@attribute A18 {g,c,e,h,a,j,f,b,d,i}
@attribute A19 {a,g,e,h,b,j,d,c,f,i}
@attribute A20 {b,d,f,j,e,h,i,c,a,g}
@attribute A21 {i,b,a,j,c,e,f,d,g,h}
@attribute A22 {a,f,j,c,e,i,b,g,h,d}
@attribute A23 {e,b,h,a,i,f,c,j,g,d}
@attribute A24 {j,a,h,f,i,e,b,g,c,d}
@attribute A25 {c,g,b,f,e,i,a,d,h,j}
@attribute A26 {f,b}
@attribute A27 {a,i,h,e,d,c,b,f,j,g}
@attribute A28 {b,h,e,g,d,i,f,c,j,a}
@attribute A29 {h,b,f,a,e,g,j,c,d,i}
@attribute A30 {c,d,a,h,g,f,b,e,j,i}
@attribute Class {c5,c1,c4,c2,c3}

@data
f,f,b,f,f,e,b,d,i,h,a,c,h,f,h,a,e,j,c,b,d,f,e,i,a,f,a,h,b,h,c1
e,b,a,g,b,j,b,d,h,b,d,d,e,d,c,e,e,c,h,j,g,c,f,d,f,b,f,d,g,i,c2
a,f,b,f,j,d,e,j,g,b,a,d,i,j,h,a,e,d,g,b,j,f,e,c,d,f,f,f,b,g,c1
d,i,h,b,b,h,c,g,f,e,a,c,j,d,f,i,e,d,a,i,g,f,e,g,c,f,h,i,g,c,c5
c,a,f,j,b,a,c,d,h,h,d,g,f,j,e,h,b,d,f,b,b,f,h,j,h,f,i,h,h,e,c3
d,i,g,e,a,g,c,f,f,a,i,c,f,d,j,j,e,a,a,f,d,b,e,b,c,f,d,e,a,e,c5
j,j,j,i,j,j,g,d,g,c,d,a,d,i,a,b,f,h,c,f,f,a,c,h,b,b,g,a,f,h,c4
h,f,b,f,d,d,g,f,c,b,a,g,g,f,h,a,h,a,h,b,c,f,e,a,a,f,j,c,b,e,c1
e,d,h,i,f,h,i,h,c,c,d,a,d,i,i,b,f,h,e,b,g,f,f,h,b,b,j,c,f,h,c4
e,j,h,c,b,f,b,d,h,b,d,a,b,d,d,i,e,c,d,j,d,e,f,g,f,b,i,h,e,d,c2
d,i,i,g,b,c,c,e,f,c,f,c,b,d,g,a,e,g,a,g,a,e,e,h,c,f,b,i,c,f,c5
d,i,b,c,i,c,c,g,f,d,d,c,e,d,j,b,e,c,a,g,h,i,e,c,c,f,b,j,g,b,c5
e,a,d,g,b,j,b,d,h,b,d,a,f,d,f,d,b,c,i,j,f,h,d,g,f,b,a,i,a,i,c2
j,e,e,b,b,e,b,d,h,b,d,f,h,d,b,a,i,c,e,j,d,h,f,a,f,b,e,i,f,f,c2
c,a,f,b,b,g,c,h,h,d,i,j,f,c,a,i,b,f,b,b,a,d,h,j,j,f,i,f,f,a,c3
c,h,g,a,b,g,b,d,h,b,d,b,e,d,a,d,b,c,g,j,h,j,h,e,f,b,e,a,e,e,c2
j,e,e,i,i,j,d,i,c,d,d,d,d,j,g,b,f,h,a,h,d,i,i,h,b,b,b,b,f,h,c4
c,a,f,b,d,c,c,g,h,c,a,h,g,e,a,e,b,g,a,b,g,c,h,j,j,f,i,j,h,g,c3
a,h,g,j,b,e,b,d,h,b,d,i,e,d,b,g,d,c,j,j,a,a,f,e,f,b,c,h,g,b,c2
e,f,b,f,c,c,d,g,h,i,a,e,i,b,h,a,j,i,g,b,d,f,e,a,d,f,h,h,b,i,c1
c,f,b,f,f,a,d,c,i,e,a,h,c,i,h,a,b,h,g,b,i,f,e,e,d,f,i,h,b,d,c1
d,i,a,f,h,e,c,h,f,j,g,c,j,d,d,a,e,c,a,g,h,h,e,b,c,f,a,j,h,g,c5
a,g,c,i,c,i,i,c,d,e,d,c,d,j,e,b,f,h,d,a,i,h,h,h,b,b,f,d,f,h,c4
i,f,b,f,b,d,h,a,f,j,a,b,h,i,h,a,i,c,g,b,g,f,e,a,h,f,d,d,b,h,c1
i,d,j,i,a,g,c,j,j,c,d,c,d,i,c,b,f,h,h,h,d,d,d,h,b,b,b,b,f,h,c4
d,i,c,a,g,g,c,b,f,g,j,c,h,d,f,f,e,g,a,g,i,f,e,d,c,f,j,a,b,b,c5
h,f,b,f,c,h,h,h,j,b,a,a,d,b,h,a,g,h,h,b,d,f,e,b,b,f,i,c,b,i,c1
a,f,b,f,e,b,e,b,h,f,a,f,b,i,h,a,h,a,i,b,a,f,e,f,h,f,e,g,b,b,c1
c,a,f,b,e,h,c,g,h,a,g,i,d,j,c,d,b,h,c,b,f,f,h,j,i,f,i,g,d,d,c3
c,a,f,h,b,d,c,c,h,b,c,d,a,b,d,g,b,i,e,b,e,j,h,j,h,f,i,h,d,c,c3
f,e,f,f,b,b,b,d,h,b,d,d,c,d,b,b,b,c,b,j,d,b,j,d,f,b,i,j,a,f,c2
d,i,g,g,d,j,c,j,f,b,f,c,i,d,a,g,e,i,a,d,h,i,e,d,c,f,c,h,h,c,c5
i,i,j,i,g,j,a,h,c,e,d,f,d,h,j,b,f,h,h,i,f,d,a,h,b,b,g,i,f,h,c4
b,i,i,i,b,b,b,d,h,b,d,e,e,d,j,e,j,c,b,j,j,i,g,g,f,b,b,b,c,g,c2
e,b,h,i,f,g,h,i,c,c,d,i,d,i,i,b,f,h,a,h,c,g,j,h,b,b,h,d,f,h,c4
i,g,c,a,b,b,b,d,h,b,d,d,g,d,a,h,d,c,c,j,e,a,f,i,f,b,h,b,h,j,c2
d,i,i,h,h,h,c,c,f,c,i,c,g,d,e,e,e,e,a,c,e,j,e,b,c,f,i,b,j,a,c5
d,i,j,g,h,b,c,j,f,e,f,c,f,d,h,b,e,j,a,i,e,e,e,g,c,f,d,i,c,d,c5
c,a,f,c,e,b,c,b,h,a,b,i,e,c,f,h,b,f,a,b,e,g,h,j,b,f,i,d,j,a,c3
c,a,i,e,b,h,b,d,h,b,d,j,b,d,e,e,j,c,f,j,d,c,d,b,f,b,g,b,e,b,c2
b,f,b,f,b,i,j,d,a,i,a,c,b,f,h,a,g,f,f,b,h,f,e,j,a,f,g,g,b,c,c1
c,a,f,h,c,i,c,i,h,h,h,g,e,c,a,j,b,h,c,b,a,a,h,j,f,f,i,a,h,h,c3
b,f,f,i,b,b,b,e,a,d,d,e,d,h,h,b,f,h,c,c,f,e,d,h,b,b,a,f,f,h,c4
d,i,b,f,f,a,c,i,f,c,b,c,j,d,j,c,e,i,a,a,h,d,e,f,c,f,b,d,j,h,c5
d,i,f,f,j,b,c,i,f,j,f,c,g,d,a,i,e,c,a,c,g,a,e,g,c,f,f,d,j,i,c5
c,a,f,e,e,j,c,h,h,e,e,d,d,h,h,i,b,a,i,b,i,i,h,j,g,f,i,h,e,b,c3
j,f,h,i,b,c,b,d,h,b,d,f,d,d,h,d,c,c,i,j,d,i,d,c,f,b,g,b,a,a,c2
c,a,f,f,c,b,c,e,h,b,g,h,f,i,a,d,b,h,i,b,j,f,h,j,j,f,i,c,e,i,c3
c,a,f,d,g,g,c,a,h,d,a,a,f,b,i,a,b,i,a,b,e,g,h,j,g,f,i,g,h,e,c3
e,f,j,i,d,j,e,i,a,c,d,h,d,d,a,b,f,h,i,a,h,j,c,h,b,b,j,c,f,h,c4
g,e,h,i,b,c,b,e,i,j,d,j,d,c,c,b,f,h,f,i,j,c,j,h,b,b,g,j,f,h,c4
c,a,f,j,e,d,c,c,h,i,d,j,c,g,i,d,b,i,i,b,i,i,h,j,c,f,i,g,d,i,c3
e,f,b,f,b,e,e,f,j,i,a,i,a,d,h,a,d,e,f,b,e,f,e,i,a,f,i,i,b,j,c1
d,f,b,f,g,g,a,g,b,a,a,a,f,g,h,a,h,i,b,b,j,f,e,b,i,f,g,f,b,f,c1
a,a,j,i,a,d,h,i,c,i,d,b,d,b,f,b,f,h,b,a,g,d,h,h,b,b,j,c,f,h,c4
i,f,b,f,d,g,e,g,f,a,a,h,e,d,h,a,c,a,c,b,b,f,e,h,g,f,g,c,b,j,c1
c,a,f,g,d,d,c,i,h,e,f,g,h,c,i,e,b,a,c,b,f,i,h,j,j,f,i,f,d,b,c3
a,a,g,i,i,e,j,c,g,h,d,d,d,i,b,b,f,h,g,a,j,i,d,h,b,b,a,e,f,h,c4
c,a,f,e,a,d,c,j,h,a,i,f,h,a,j,e,b,g,f,b,g,c,h,j,f,f,i,h,h,b,c3
c,a,f,b,h,c,c,a,h,g,e,c,g,e,c,i,b,e,e,b,c,i,h,j,e,f,i,c,f,a,c3
j,g,b,i,f,i,h,j,b,h,d,c,d,c,h,b,f,h,i,a,h,j,g,h,b,b,j,e,f,h,c4
e,f,b,f,f,c,h,b,e,b,a,a,c,c,h,a,d,f,b,b,c,f,e,a,f,f,j,j,b,g,c1
b,j,c,b,b,h,b,d,h,b,d,e,i,d,h,j,j,c,i,j,i,c,c,c,f,b,g,d,d,c,c2
e,f,b,f,b,h,g,b,c,c,a,d,g,j,h,a,c,b,d,b,e,f,e,f,h,f,a,b,b,a,c1
c,a,f,h,g,c,c,h,h,f,e,f,i,h,b,g,b,b,a,b,c,e,h,j,g,f,i,c,i,g,c3
f,f,b,f,e,g,j,a,g,g,a,e,d,e,h,a,d,b,h,b,f,f,e,g,j,f,h,f,b,g,c1
e,f,j,i,c,a,j,i,i,b,d,i,d,a,h,b,f,h,a,c,h,c,d,h,b,b,g,b,f,h,c4
h,f,b,f,b,d,a,g,e,c,a,a,f,a,h,a,j,f,h,b,e,f,e,j,e,f,a,a,b,c,c1
d,f,f,i,e,d,h,h,d,c,d,j,d,a,g,b,f,h,d,a,b,g,h,h,b,b,j,d,f,h,c4
f,f,b,f,f,a,i,j,i,d,a,d,f,i,h,a,i,f,a,b,d,f,e,i,e,f,a,g,b,b,c1
c,i,d,i,a,g,c,c,e,j,d,j,d,i,b,b,f,h,b,h,i,a,j,h,b,b,i,c,f,h,c4
g,c,a,i,g,i,a,f,b,a,d,f,d,g,c,b,f,h,d,e,f,b,a,h,b,b,a,i,f,h,c4
j,f,g,i,b,j,b,d,h,b,d,a,j,d,d,d,c,c,b,j,h,h,c,d,f,b,e,b,g,f,c2
f,i,e,i,d,e,f,f,g,f,d,d,d,c,e,b,f,h,a,b,i,f,d,h,b,b,d,h,f,h,c4
d,i,c,i,h,i,j,f,b,j,d,f,d,b,e,b,f,h,b,i,i,c,a,h,b,b,a,b,f,h,c4
d,i,b,f,a,d,c,f,f,e,f,c,c,d,b,c,e,j,a,i,f,i,e,c,c,f,h,h,e,b,c5
f,h,b,i,i,h,j,f,a,e,d,g,d,i,b,b,f,h,i,g,g,h,h,h,b,b,a,c,f,h,c4
c,f,b,f,e,j,a,i,f,e,a,j,g,h,h,a,a,h,b,b,d,f,e,i,b,f,e,i,b,a,c1
c,g,h,j,b,e,b,d,h,b,d,e,g,d,f,g,f,c,j,j,a,g,i,j,f,b,h,h,h,b,c2
c,a,f,i,f,h,c,c,h,c,e,i,e,d,a,e,b,j,e,b,c,e,h,j,f,f,i,a,i,h,c3
d,c,f,i,c,d,b,c,f,d,d,j,d,d,d,b,f,h,d,d,f,b,j,h,b,b,e,d,f,h,c4
b,f,b,f,a,f,a,i,d,a,a,i,d,i,h,a,e,g,e,b,c,f,e,d,c,f,g,g,b,h,c1
c,a,f,a,c,i,c,a,h,b,g,c,b,d,e,g,b,f,a,b,j,g,h,j,c,f,i,d,b,j,c3
j,g,f,j,b,g,b,d,h,b,d,e,d,d,g,j,j,c,a,j,a,j,d,h,f,b,g,j,h,a,c2
i,f,b,f,h,b,h,e,j,j,a,h,g,b,h,a,g,b,h,b,b,f,e,i,j,f,c,a,b,j,c1
c,a,f,d,j,f,c,h,h,h,c,g,i,g,j,a,b,a,a,b,j,c,h,j,b,f,i,c,j,j,c3
b,a,c,g,b,h,b,d,h,b,d,e,c,d,f,j,j,c,b,j,d,d,h,h,f,b,j,a,h,c,c2
c,a,f,e,h,d,c,d,h,h,b,j,d,g,h,h,b,j,f,b,d,j,h,j,e,f,i,j,f,f,c3
j,g,d,i,b,e,b,c,b,e,d,a,d,e,g,b,f,h,f,j,j,j,b,h,b,b,c,c,f,h,c4
c,f,b,f,a,j,d,h,h,f,a,j,g,e,h,a,i,h,g,b,i,f,e,e,i,f,j,f,b,a,c1
i,f,b,f,i,g,c,f,d,b,a,a,g,f,h,a,b,d,e,b,e,f,e,f,h,f,h,j,b,i,c1
c,a,f,e,i,e,c,g,h,c,b,g,h,j,i,f,b,g,b,b,b,g,h,j,e,f,i,j,e,j,c3
a,e,h,i,d,f,d,f,g,a,d,e,d,e,a,b,f,h,a,f,g,j,d,h,b,b,b,b,f,h,c4
d,i,h,i,d,h,c,i,f,e,g,c,f,d,f,a,e,b,a,h,a,h,e,i,c,f,f,g,e,b,c5
c,a,f,f,b,f,c,d,h,b,c,g,a,f,a,b,b,h,h,b,g,g,h,j,d,f,i,j,e,e,c3
d,e,c,i,i,e,b,a,g,e,d,a,d,f,b,b,f,h,e,i,a,d,c,h,b,b,j,b,f,h,c4
c,a,f,b,g,a,c,f,h,h,f,i,a,i,b,h,b,d,c,b,b,i,h,j,j,f,i,i,j,i,c3
j,f,b,f,j,h,g,j,h,c,a,f,e,a,h,a,b,c,f,b,e,f,e,f,g,f,d,g,b,e,c1
b,f,b,f,j,g,c,i,e,i,a,d,f,a,h,a,g,b,g,b,d,f,e,e,j,f,j,c,b,j,c1
c,a,f,g,h,j,c,f,h,c,a,i,h,g,d,j,b,i,c,b,e,i,h,j,i,f,i,a,c,h,c3
d,h,c,j,b,f,b,d,h,b,d,h,b,d,c,b,d,c,a,j,f,e,e,i,f,b,c,c,a,e,c2
j,f,b,f,b,d,g,g,a,j,a,f,j,d,h,a,f,j,a,b,h,f,e,h,d,f,h,f,b,g,c1
d,f,b,f,c,g,d,i,a,h,a,h,c,j,h,a,c,d,d,b,b,f,e,g,a,f,i,b,b,b,c1
j,f,b,f,h,a,d,d,h,f,a,d,h,f,h,a,a,i,d,b,e,f,e,j,h,f,d,c,b,b,c1
c,a,f,a,i,f,c,b,h,d,a,f,e,b,c,h,b,a,a,b,a,a,h,j,j,f,i,d,i,h,c3
c,a,f,j,e,a,c,e,h,i,i,b,c,d,i,g,b,g,d,b,b,e,h,j,f,f,i,a,j,h,c3
d,i,h,c,j,i,c,c,f,j,a,c,h,d,j,i,e,d,a,g,a,a,e,c,c,f,c,j,i,e,c5
b,f,b,f,i,a,e,j,f,h,a,g,i,c,h,a,e,e,c,b,b,f,e,j,f,f,c,a,b,a,c1
b,f,b,f,e,a,e,e,h,g,a,b,g,c,h,a,h,c,g,b,f,f,e,h,a,f,b,j,b,e,c1
e,c,i,i,g,i,i,d,c,h,d,c,d,e,a,b,f,h,g,d,d,f,a,h,b,b,a,h,f,h,c4
c,a,f,b,d,c,c,e,h,f,i,a,g,h,e,f,b,b,j,b,e,g,h,j,g,f,i,i,f,h,c3
c,f,b,f,g,a,i,c,j,i,a,h,b,h,h,a,f,a,c,b,f,f,e,j,b,f,i,c,b,e,c1
d,i,f,g,d,c,c,d,f,h,b,c,c,d,b,b,e,h,a,a,e,e,e,h,c,f,j,d,c,e,c5
d,i,f,f,c,j,c,a,f,j,h,c,c,d,g,d,e,j,a,e,b,i,e,i,c,f,f,e,c,j,c5
c,d,b,i,g,e,f,d,h,i,d,g,d,b,c,b,f,h,b,i,i,h,j,h,b,b,f,g,f,h,c4
h,f,b,f,a,f,f,c,f,h,a,c,b,h,h,a,c,g,i,b,g,f,e,g,b,f,i,e,b,e,c1
d,i,g,h,g,e,c,h,f,b,h,c,g,d,f,i,e,d,a,g,f,a,e,b,c,f,g,h,b,h,c5
e,h,c,c,b,h,b,d,h,b,d,h,f,d,a,h,j,c,f,j,h,j,d,j,f,b,j,j,c,c,c2
c,f,g,i,e,c,a,h,j,b,d,c,d,j,d,b,f,h,e,h,j,d,c,h,b,b,h,g,f,h,c4
h,d,c,g,b,d,b,d,h,b,d,e,h,d,d,c,g,c,e,j,a,d,i,h,f,b,e,j,j,i,c2
d,i,e,h,i,f,c,g,f,c,h,c,a,d,f,f,e,g,a,h,g,a,e,f,c,f,c,c,i,e,c5
d,i,e,f,j,j,c,b,f,b,a,c,d,d,g,g,e,c,a,j,c,c,e,c,c,f,h,a,f,f,c5
c,a,f,h,j,d,c,e,h,a,f,j,f,h,i,f,b,i,e,b,i,b,h,j,d,f,i,g,a,j,c3
d,i,c,g,a,g,c,d,f,c,c,c,e,d,j,c,e,i,a,a,g,d,e,d,c,f,h,i,d,d,c5
d,i,g,h,h,e,c,a,f,c,h,c,e,d,i,c,e,j,a,d,j,b,e,j,c,f,i,g,d,a,c5
d,b,g,i,h,j,f,f,e,e,d,e,d,c,c,b,f,h,e,j,e,i,d,h,b,b,i,a,f,h,c4
c,a,f,c,e,h,c,i,h,h,b,f,b,i,h,b,b,e,i,b,b,b,h,j,i,f,i,b,e,g,c3
i,h,d,i,d,c,g,d,f,i,d,e,d,f,c,b,f,h,g,a,c,c,c,h,b,b,g,a,f,h,c4
c,f,d,i,i,a,a,e,e,c,d,a,d,d,a,b,f,h,f,a,i,j,a,h,b,b,j,d,f,h,c4
i,f,b,f,c,c,b,e,g,c,a,e,h,e,h,a,f,d,d,b,g,f,e,b,f,f,h,j,b,g,c1
c,a,f,f,b,c,c,b,h,b,c,e,i,b,d,c,b,a,a,b,f,g,h,j,i,f,i,e,g,j,c3
d,i,e,c,h,i,c,f,f,d,j,c,e,d,b,c,e,h,a,g,e,a,e,d,c,f,a,f,j,c,c5
b,f,b,f,j,c,a,g,h,e,a,g,b,h,h,a,h,h,h,b,b,f,e,g,i,f,h,b,b,d,c1
c,a,f,i,b,f,c,d,h,h,h,d,h,i,c,a,b,a,g,b,b,e,h,j,j,f,i,i,a,a,c3
d,f,b,f,b,b,f,a,b,d,a,c,h,i,h,a,b,a,d,b,g,f,e,h,j,f,f,f,b,e,c1
d,i,c,a,h,j,c,a,f,b,e,c,c,d,d,c,e,c,a,j,h,h,e,d,c,f,i,e,i,f,c5
g,a,h,e,b,i,b,d,h,b,d,g,e,d,i,b,d,c,b,j,b,a,g,g,f,b,b,i,e,h,c2
d,i,h,e,e,i,c,c,f,j,j,c,d,d,e,g,e,b,a,b,h,f,e,j,c,f,a,h,h,c,c5
f,i,f,d,b,f,b,d,h,b,d,a,e,d,a,g,b,c,f,j,c,i,g,i,f,b,c,c,g,c,c2
d,i,a,b,b,d,c,g,f,d,c,c,b,d,i,e,e,f,a,i,f,a,e,g,c,f,i,d,h,e,c5
d,b,d,i,f,c,j,h,g,h,d,a,d,g,d,b,f,h,j,f,j,b,c,h,b,b,j,a,f,h,c4
d,i,c,j,j,j,c,d,f,h,f,c,f,d,a,i,e,e,a,i,g,e,e,a,c,f,i,h,e,c,c5
j,c,i,i,c,b,i,a,a,b,d,i,d,e,f,b,f,h,g,c,b,j,c,h,b,b,d,j,f,h,c4
d,i,e,a,h,i,c,b,f,c,j,c,i,d,f,j,e,b,a,e,d,f,e,j,c,f,j,c,a,h,c5
c,a,f,h,h,f,c,h,h,d,c,f,d,h,e,i,b,e,c,b,j,d,h,j,c,f,i,g,d,g,c3
c,a,f,a,c,h,c,a,h,i,i,i,d,e,e,a,b,i,i,b,b,i,h,j,h,f,i,h,f,i,c3
j,f,b,f,h,j,b,b,b,h,a,d,g,h,h,a,c,h,j,b,h,f,e,b,f,f,d,a,b,b,c1
c,a,f,f,h,h,c,c,h,h,e,d,d,d,g,j,b,c,c,b,f,c,h,j,h,f,i,c,b,c,c3
d,i,b,j,b,j,c,c,f,f,h,c,e,d,d,e,e,f,a,f,b,b,e,j,c,f,b,a,a,e,c5
c,a,f,j,e,i,c,i,h,h,e,e,f,a,j,d,b,b,i,b,b,d,h,j,b,f,i,h,c,c,c3
a,f,b,f,f,f,h,i,f,e,a,j,d,a,h,a,d,h,f,b,i,f,e,a,e,f,h,e,b,a,c1
j,j,a,i,b,f,b,d,h,b,d,d,j,d,e,j,a,c,b,j,j,i,h,j,f,b,j,i,j,c,c2
a,f,b,f,i,a,j,f,c,e,a,h,e,d,h,a,a,i,d,b,c,f,e,h,j,f,b,g,b,c,c1
c,a,f,i,h,f,c,d,h,g,h,d,a,f,f,j,b,c,h,b,d,i,h,j,e,f,i,h,b,f,c3
c,a,f,h,j,i,c,j,h,j,d,c,c,b,f,j,b,e,f,b,f,h,h,j,b,f,i,c,i,b,c3
h,f,b,f,i,g,g,d,d,j,a,g,d,h,h,a,i,c,f,b,j,f,e,a,j,f,f,c,b,i,c1
a,h,b,i,a,a,d,b,b,b,d,g,d,j,h,b,f,h,c,j,i,b,d,h,b,b,f,d,f,h,c4
c,a,f,c,d,a,c,e,h,g,a,f,d,f,h,g,b,b,e,b,h,c,h,j,c,f,i,a,f,j,c3
c,a,f,j,a,a,c,j,h,d,j,f,b,f,a,c,b,f,b,b,j,f,h,j,g,f,i,g,g,g,c3
b,f,f,d,b,d,b,d,h,b,d,j,h,d,a,c,g,c,b,j,a,e,e,e,f,b,e,j,a,a,c2
e,b,g,i,j,c,i,d,e,c,d,f,d,j,e,b,f,h,f,b,j,h,e,h,b,b,f,c,f,h,c4
d,i,i,j,a,a,c,b,f,j,j,c,j,d,i,d,e,h,a,j,f,g,e,b,c,f,g,g,d,d,c5
b,b,i,f,b,f,b,d,h,b,d,e,e,d,a,f,g,c,i,j,e,c,j,e,f,b,i,g,j,a,c2
d,i,h,h,c,d,c,g,f,h,a,c,d,d,a,f,e,f,a,d,f,i,e,a,c,f,f,b,j,h,c5
b,f,b,f,c,d,c,i,g,f,a,b,g,b,h,a,d,g,g,b,d,f,e,g,b,f,g,e,b,b,c1
c,a,f,i,d,a,c,h,h,h,i,f,a,a,j,c,b,g,g,b,d,h,h,j,i,f,i,a,h,e,c3
c,f,b,f,d,g,i,h,e,a,a,e,f,c,h,a,a,c,d,b,g,f,e,b,c,f,e,g,b,i,c1
j,h,a,i,h,h,e,h,c,i,d,h,d,e,h,b,f,h,f,a,j,d,f,h,b,b,b,f,f,h,c4
c,a,f,d,a,h,c,g,h,g,i,i,g,c,d,i,b,f,j,b,d,i,h,j,f,f,i,d,f,a,c3
d,i,i,h,f,a,c,d,f,g,e,c,d,d,g,a,e,d,a,f,a,d,e,a,c,f,g,g,e,i,c5
b,b,d,b,b,a,b,d,h,b,d,h,f,d,h,i,f,c,f,j,g,f,g,a,f,b,g,j,b,c,c2
e,e,c,e,b,d,b,d,h,b,d,a,e,d,b,c,f,c,g,j,h,i,j,a,f,b,e,f,a,f,c2
c,a,f,c,g,f,c,j,h,i,d,d,f,a,h,e,b,d,c,b,c,b,h,j,i,f,i,i,g,c,c3
i,j,f,i,f,a,b,e,d,g,d,c,d,a,a,b,f,h,d,e,a,b,e,h,b,b,e,i,f,h,c4
i,f,b,f,a,a,h,h,a,b,a,g,c,j,h,a,h,g,e,b,c,f,e,h,h,f,b,e,b,g,c1
a,h,h,f,b,i,b,d,h,b,d,d,h,d,j,b,d,c,h,j,j,b,e,f,f,b,f,d,f,e,c2
g,d,g,b,b,d,b,d,h,b,d,i,b,d,b,i,f,c,h,j,c,h,i,g,f,b,f,e,a,g,c2
i,e,g,g,b,d,b,d,h,b,d,a,d,d,a,a,b,c,b,j,c,i,j,h,f,b,b,g,h,d,c2
d,i,g,i,e,d,c,d,f,i,h,c,e,d,c,c,e,j,a,f,f,d,e,g,c,f,c,e,d,h,c5
d,i,d,e,i,b,c,e,f,e,d,c,b,d,g,e,e,j,a,j,f,g,e,h,c,f,f,f,a,j,c5
h,f,b,f,g,a,d,h,e,i,a,g,i,d,h,a,a,d,h,b,f,f,e,g,g,f,b,b,b,i,c1
e,f,b,f,j,j,h,b,b,d,a,i,b,d,h,a,h,e,e,b,c,f,e,j,a,f,a,i,b,d,c1
e,g,h,i,h,b,a,a,e,b,d,a,d,c,g,b,f,h,f,i,d,j,c,h,b,b,e,i,f,h,c4
e,c,b,i,a,j,b,i,e,i,d,c,d,j,h,b,f,h,h,f,c,a,a,h,b,b,h,d,f,h,c4
f,j,d,f,b,c,b,d,h,b,d,e,b,d,g,d,e,c,h,j,h,j,a,c,f,b,j,e,g,d,c2
d,f,b,f,j,a,a,d,e,b,a,e,i,h,h,a,f,a,e,b,c,f,e,g,i,f,e,c,b,f,c1
