@relation data_100_20_5_10_10_500

@attribute A1 {q,e,h,g,d,b,a,m,l,s,p,j,i,r,f,o,c,t,n,k}
@attribute A2 {n,c,k,a,d,o,q,s,t,r,e,p,g,f,i,m,j,h,b,l}
@attribute A3 {o,b,c,a,m,q,e,p,s,h,i,n,k,j,t,r,l,d,f,g}
@attribute A4 {h,q,b,l,t,g,p,j,e,o,k,m,r,d,f,s,n,c,a,i}
@attribute A5 {r,j,d,a,p,h,c,e,l,m,q,g,t,n,b,i,f,o,s,k}
@attribute A6 {t,a,q,k,s,h,f,m,i,r,o,l,d,j,c,b,p,g,n,e}
@attribute A7 {j,c,h,l,r,k,d,f,a,i,s,n,e,b,t,q,g,p,o,m}
@attribute A8 {s,j,h,a,q,n,d,r,p,c,m,t,k,e,o,f,i,g,l,b}
@attribute A9 {m,r,k,b,i,f,h,n,d,o,q,p,l,a,s,c,e,t,j,g}
@attribute A10 {d,a,o,h,j,s,t,e,l,c,m,k,r,b,n,g,q,f,p,i}
@attribute A11 {p,o,i,j,f,d,s,l,n,t,r,m,a,g,q,k,b,c,e,h}
@attribute A12 {t,r,q,e,i,k,s,j,b,a,d,f,g,c,h,l,o,p,n,m}
@attribute A13 {b,h,g,s,e,l,c,j,t,o,d,i,f,n,a,k,p,q,r,m}
@attribute A14 {l,t,o,r,m,s,p,f,c,a,g,n,q,h,k,j,d,e,i,b}
@attribute A15 {t,k,a,g,q,n,f,o,h,c,m,b,j,l,e,r,d,p,i,s}
@attribute A16 {j,a,d,f,p,c,k,e,i,n,q,l,h,g,s,r,t,o,b,m}
@attribute A17 {d,i,f,s,t,n,o,l,e,b,q,g,j,a,p,m,h,c,r,k}
@attribute A18 {g,c,i,n,r,f,o,s,a,q,b,h,m,l,j,t,k,d,p,e}
@attribute A19 {f,o,p,n,c,l,q,j,i,k,r,d,s,m,g,e,t,a,h,b}
@attribute A20 {e,g,a,m,f,s,t,p,l,o,q,j,d,b,c,n,r,h,i,k}
@attribute A21 {k,e,l,b,f,n,d,a,q,j,s,r,t,o,h,c,p,i,m,g}
@attribute A22 {o,f,r,q,j,d,t,p,i,l,m,n,g,s,a,c,k,h,e,b}
@attribute A23 {n,l,c,o,h,g,q,b,t,a,i,k,f,s,j,m,r,d,p,e}
@attribute A24 {t,f,m,g,a,h,s,i,e,n,k,c,b,j,r,l,o,q,d,p}
@attribute A25 {q,a,c,j,r,g,e,p,f,s,m,n,d,i,b,t,o,k,l,h}
@attribute A26 {c,f,g,q,d,j,m,i,n,s,l,b,o,k,h,a,r,t,p,e}
@attribute A27 {b,n,s,f,p,d,o,h,i,r,g,c,q,l,k,m,a,t,j,e}
@attribute A28 {o,t,r,l,k,q,i,n,c,h,f,g,s,j,d,p,b,m,a,e}
@attribute A29 {l,f,k,n,i,c,m,j,b,s,g,p,q,a,d,e,h,r,o,t}
@attribute A30 {s,k,c,g,q,e,h,f,p,d,t,a,r,o,b,i,l,n,j,m}
@attribute A31 {k,g,j,p,i,a,o,d,n,e,c,h,l,q,b,s,m,t,r,f}
@attribute A32 {d,l,m,j,a,c,k,g,r,s,p,b,q,o,t,i,n,h,f,e}
@attribute A33 {q,a,f,j,c,e,k,i,n,o,g,r,b,d,h,s,t,p,l,m}
@attribute A34 {t,a,p,b,l,s,n,f,r,k,e,j,o,m,q,g,d,c,i,h}
@attribute A35 {k,b,l,d,i,a,m,g,r,n,o,j,c,p,t,q,f,e,s,h}
@attribute A36 {o,m,h,d,c,f,t,i,e,r,n,q,b,j,l,p,s,a,k,g}
@attribute A37 {l,f,k,d,s,c,p,r,a,o,h,n,b,q,m,t,j,g,e,i}
@attribute A38 {l,p,n,j,b,g,a,t,h,r,c,f,d,o,i,k,q,m,s,e}
@attribute A39 {m,g,e,f,i,a,s,o,j,c,d,q,k,t,l,r,p,b,n,h}
@attribute A40 {o,f,r,b,d,q,h,e,l,j,a,n,t,k,m,p,c,s,i,g}
@attribute A41 {r,m,f,j,l,b,s,e,g,o,c,k,t,n,a,h,d,i,p,q}
@attribute A42 {j,b,m,h,d,g,k,r,n,q,l,f,t,e,s,a,p,c,o,i}
@attribute A43 {k,b,p,j,m,s,n,d,o,c,q,r,i,a,f,t,g,h,l,e}
@attribute A44 {t,n,q,f,k,b,g,r,c,i,d,s,l,m,a,h,o,e,j,p}
@attribute A45 {g,t,b,i,q,o,m,j,k,s,e,r,p,l,a,h,n,f,d,c}
@attribute A46 {c,t,h,f,k,q,b,d,l,s,i,p,n,g,r,m,e,o,j,a}
@attribute A47 {d,t,l,j,h,f,s,m,g,o,q,c,b,r,a,e,k,n,i,p}
@attribute A48 {r,s,i,q,c,a,b,f,j,g,t,l,o,n,m,k,e,d,p,h}
@attribute A49 {j,g,o,r,m,d,b,p,k,f,n,e,i,q,l,t,c,s,a,h}
@attribute A50 {h,l,g,t,p,m,f,a,i,r,b,s,d,k,q,c,o,e,j,n}
@attribute A51 {b,i,p,c,j,g,f,d,n,k,m,s,t,q,l,h,o,a,r,e}
@attribute A52 {k,j,q,n,l,a,p,e,m,s,t,g,c,o,f,b,d,r,i,h}
@attribute A53 {t,r,o,d,e,g,n,c,b,s,k,j,f,a,l,i,m,q,p,h}
@attribute A54 {b,t,k,f,q,g,m,r,c,d,a,j,l,p,o,h,e,n,i,s}
@attribute A55 {f,h,k,o,m,t,l,j,i,e,q,c,g,p,n,a,s,d,r,b}
@attribute A56 {r,n,g,c,l,j,h,e,b,s,p,t,f,a,d,k,m,o,i,q}
@attribute A57 {t,a,n,j,g,i,q,k,r,p,l,s,m,h,b,c,e,f,o,d}
@attribute A58 {t,r,f,m,h,c,o,s,g,k,n,d,b,i,q,l,p,j,e,a}
@attribute A59 {k,l,p,g,b,r,n,j,c,m,s,o,f,h,e,i,t,a,q,d}
@attribute A60 {c,r,h,j,m,g,s,k,o,f,i,d,a,p,e,t,l,n,b,q}
@attribute A61 {f,n,j,r,k,p,a,q,i,m,b,t,e,h,c,l,o,s,g,d}
@attribute A62 {b,e,l,j,d,k,f,r,n,c,i,a,s,g,q,m,h,o,t,p}
@attribute A63 {b,r,p,j,a,l,m,o,f,q,i,n,c,g,e,d,h,s,k,t}
@attribute A64 {k,l,n,m,s,i,h,b,c,t,j,d,r,q,p,o,g,f,a,e}
@attribute A65 {q,m,j,k,t,o,l,h,c,a,s,b,p,i,r,d,e,g,f,n}
@attribute A66 {t,j,k,g,i,c,s,o,h,e,d,b,f,a,r,n,p,l,q,m}
@attribute A67 {i,f,n,q,l,b,e,o,s,r,m,g,d,j,h,c,k,a,t,p}
@attribute A68 {a,m,r,h,j,p,k,q,e,d,c,i,n,b,l,s,o,g,f,t}
@attribute A69 {c,a,t,l,b,s,e,f,m,k,n,q,r,j,p,i,d,g,h,o}
@attribute A70 {b,p,d,q,a,m,k,c,f,r,n,g,l,s,i,e,o,j,h,t}
@attribute A71 {p,h,s,n,m,k,q,f,e,l,d,o,j,t,g,i,c,b,r,a}
@attribute A72 {p,q,t,n,k,f,l,s,a,j,d,m,c,e,r,g,b,h,o,i}
@attribute A73 {t,j,g,s,h,k,n,f,q,a,o,l,e,d,b,c,i,r,m,p}
@attribute A74 {j,g,n,d,a,t,h,q,b,o,r,c,m,p,k,f,e,l,s,i}
@attribute A75 {h,e,o,p,k,f,a,c,s,d,t,n,i,m,b,g,r,l,j,q}
@attribute A76 {p,f,g,h,a,o,n,c,e,s,m,r,k,i,b,t,l,q,j,d}
@attribute A77 {p,f,b,s,d,h,g,a,i,n,k,t,l,q,e,o,m,j,c,r}
@attribute A78 {n,p,q,d,s,b,l,j,c,t,e,r,i,h,o,m,k,f,a,g}
@attribute A79 {q,r,j,s,o,n,a,t,m,b,l,h,k,d,e,c,p,f,g,i}
@attribute A80 {k,h,l,p,s,r,n,b,t,i,f,d,m,o,e,a,g,q,j,c}
@attribute A81 {a,t,s,p,b,r,g,j,e,q,f,c,d,n,h,m,l,i,o,k}
@attribute A82 {k,d,m,e,o,l,t,c,g,a,s,n,p,q,j,i,h,r,f,b}
@attribute A83 {t,i,e,m,o,s,d,l,h,n,g,q,k,f,a,b,c,r,p,j}
@attribute A84 {a,j,d,f,n,t,q,m,r,p,o,h,l,k,g,c,b,s,e,i}
@attribute A85 {l,q,n,c,t,r,a,e,m,j,g,o,p,h,s,f,k,b,d,i}
@attribute A86 {a,c,k,d,t,o,f,q,l,m,b,n,h,e,j,p,i,r,s,g}
@attribute A87 {a,b,e,i,s,h,o,j,m,d,c,f,g,n,p,r,l,k,t,q}
@attribute A88 {b,o,s,f,j,c,e,r,m,p,l,k,h,n,t,a,g,i,q,d}
@attribute A89 {n,e,o,b,l,m,f,j,g,d,i,s,p,c,q,k,t,h,r,a}
@attribute A90 {l,j,n,s,p,a,c,g,h,m,e,r,t,b,f,o,k,i,d,q}
@attribute A91 {j,a,e,k,d,q,n,b,o,p,t,f,i,h,l,r,s,m,c,g}
@attribute A92 {i,e,f,c,r,s,d,a,m,t,k,l,g,p,h,o,j,b,n,q}
@attribute A93 {r,a,j,i,n,k,l,m,c,g,t,p,e,o,q,d,b,h,s,f}
@attribute A94 {h,m,e,s,t,b,q,o,j,c,p,n,f,d,g,r,i,a,l,k}
@attribute A95 {l,p,r,k,s,m,f,o,t,c,g,n,e,j,i,a,d,q,b,h}
@attribute A96 {m,q,r,n,b,l,g,t,h,a,s,e,i,c,d,p,j,k,o,f}
@attribute A97 {q,d,s,h,j,c,k,g,m,r,f,n,e,l,b,p,a,t,o,i}
@attribute A98 {q,h,i,l,n,p,o,a,t,f,g,e,r,d,c,k,m,b,s,j}
@attribute A99 {o,h,t,p,a,g,b,m,l,i,j,e,q,r,f,n,c,d,k,s}
@attribute A100 {e,m,c,o,f,g,i,s,t,r,k,h,l,b,p,j,d,n,a,q}
@attribute Class {c4,c3,c2,c1,c5}

@data
t,j,r,r,t,l,b,o,r,n,j,d,r,g,t,b,t,o,i,b,g,f,a,a,k,o,m,n,h,p,f,r,o,q,r,s,a,m,e,k,h,k,k,s,m,i,l,m,k,p,o,b,t,t,h,r,t,t,r,c,f,e,f,b,i,k,j,a,p,e,q,o,s,p,c,h,t,n,e,k,h,n,o,j,d,g,a,p,c,c,j,h,k,t,h,c,c,p,o,b,c4
o,f,k,i,o,s,d,e,r,a,i,p,j,i,e,p,s,n,h,l,c,i,e,j,i,o,s,o,k,c,p,j,q,t,j,h,a,c,f,l,j,s,p,c,m,p,e,q,a,t,c,h,g,t,e,c,m,q,e,j,h,k,o,p,t,i,o,r,t,n,b,g,j,e,f,r,c,b,d,s,a,m,p,f,n,h,q,o,k,a,h,r,c,k,i,e,m,l,s,s,c1
d,e,c,e,g,t,o,a,d,t,d,n,k,o,h,p,c,q,t,s,j,a,g,s,k,j,n,f,p,r,g,k,j,o,b,n,t,j,h,a,q,q,e,m,n,a,m,s,t,b,b,j,n,j,l,m,d,d,q,j,r,f,i,m,t,a,n,d,m,j,c,c,l,g,m,s,e,a,g,f,k,c,i,c,r,h,s,i,j,d,d,n,h,i,f,n,m,d,b,q,c5
k,c,i,t,f,q,t,b,b,m,a,j,j,j,t,o,n,t,r,r,o,b,f,o,p,h,a,r,p,l,b,b,o,o,c,o,q,q,n,h,f,f,k,o,a,c,e,s,s,d,n,o,g,f,m,r,t,t,t,c,f,q,n,n,i,n,p,a,l,j,i,q,l,m,c,p,l,n,b,k,j,e,a,i,i,p,a,c,a,i,j,l,q,r,f,l,j,s,q,r,c4
t,g,d,d,e,c,c,b,i,a,a,e,r,s,i,j,i,e,d,l,b,o,p,d,q,i,p,q,k,g,j,t,h,k,g,m,f,p,n,a,n,i,n,a,m,i,h,i,h,h,i,a,e,o,k,n,q,q,h,h,e,a,g,m,e,m,g,s,d,p,l,a,o,e,f,c,d,d,n,t,d,i,n,l,j,c,l,r,t,j,m,s,j,m,f,o,p,a,h,n,c3
r,g,h,t,q,n,f,b,a,i,s,j,c,m,t,t,j,i,o,p,j,h,e,a,h,r,t,q,q,k,p,t,o,f,h,i,k,a,t,j,i,j,k,f,c,h,a,h,a,a,q,i,b,q,g,r,t,n,g,c,f,f,e,k,p,q,m,a,d,d,e,n,f,g,m,c,c,n,i,k,a,s,o,t,d,b,a,f,t,a,j,n,s,k,p,a,c,r,o,c,c4
j,p,k,k,e,a,c,m,l,a,p,f,q,g,o,p,i,j,q,h,o,t,n,n,t,i,f,m,l,l,m,q,k,n,j,m,f,p,g,t,a,s,t,k,k,m,b,g,o,n,i,c,s,s,b,n,l,i,o,m,t,i,j,o,d,p,f,f,e,p,h,c,h,g,n,f,f,l,o,i,i,e,l,a,r,c,b,r,s,d,f,r,a,m,k,i,t,e,t,d,c3
r,o,c,a,o,i,r,o,s,f,t,m,f,m,m,d,s,c,p,d,l,m,t,o,e,g,f,k,s,c,m,m,t,f,m,m,h,o,t,a,p,f,o,h,k,t,m,a,m,a,p,n,c,f,k,t,n,m,c,c,g,s,t,i,l,g,o,d,h,t,f,l,q,d,d,o,m,a,q,e,l,e,j,d,p,b,n,o,j,t,r,k,l,r,m,b,m,d,h,c,c2
l,p,c,t,e,k,i,k,n,n,j,i,b,t,j,d,k,f,p,t,l,l,t,i,o,g,i,e,n,c,q,m,c,m,p,c,s,g,j,s,h,h,k,l,g,t,h,h,a,b,p,q,m,o,q,m,n,a,i,b,b,b,s,l,j,b,o,c,f,f,t,m,f,a,n,c,h,q,o,f,s,r,p,d,a,c,i,f,i,h,l,c,k,b,b,i,k,i,h,c,c2
b,t,c,e,p,m,e,d,k,k,m,j,q,c,e,q,s,n,i,l,c,j,m,p,e,l,l,o,k,j,q,j,o,f,q,l,e,e,f,f,s,j,j,e,o,m,g,q,t,t,e,f,b,d,j,a,n,t,g,j,l,s,l,a,o,s,r,r,t,o,t,c,c,n,g,r,d,q,g,b,g,c,e,f,j,g,t,l,l,m,i,r,o,b,m,r,t,f,j,m,c1
o,a,c,o,n,e,f,s,h,r,b,o,i,a,s,d,j,r,p,f,l,e,a,q,a,g,t,o,t,c,n,m,i,p,d,r,e,a,a,j,k,q,j,p,f,i,b,e,l,g,p,l,k,m,o,f,n,j,i,a,o,p,l,j,q,e,i,q,h,t,f,m,s,d,n,f,l,j,p,m,a,g,i,d,f,l,j,a,r,p,k,o,a,s,t,o,f,k,s,c,c2
g,a,g,p,n,e,e,d,e,c,q,o,s,q,p,p,s,n,n,m,b,q,h,r,g,c,q,o,k,f,t,j,g,s,i,q,r,n,f,c,h,n,d,p,l,p,a,f,l,t,a,h,c,i,s,h,j,e,e,j,m,a,k,n,t,b,b,r,t,t,s,m,h,p,j,p,k,e,o,s,r,t,r,f,h,o,s,i,p,h,f,g,g,t,r,o,j,o,e,g,c1
d,f,m,g,i,h,l,i,d,t,e,i,f,m,m,o,j,q,b,h,g,s,g,d,m,j,q,i,j,f,j,q,f,l,f,e,m,q,q,m,g,o,d,c,s,e,i,p,o,m,t,o,d,m,l,b,j,o,k,l,l,n,d,l,q,k,s,j,l,i,k,p,m,b,o,s,m,b,i,a,h,k,m,m,r,n,n,s,n,b,d,f,i,c,c,a,m,k,b,t,c5
t,r,p,k,s,g,c,t,p,a,l,d,d,i,j,d,i,j,e,r,a,f,p,o,j,d,a,p,l,r,n,q,c,h,m,m,f,p,a,l,t,h,f,j,t,q,a,s,j,h,i,q,k,n,i,n,c,o,p,c,m,d,j,q,q,r,a,m,s,p,l,q,e,o,f,e,f,s,m,h,e,g,q,s,n,c,a,p,t,a,q,q,b,m,j,r,d,e,l,o,c3
a,q,e,c,e,s,k,a,e,p,p,a,t,k,t,l,i,q,t,f,c,i,n,t,r,j,l,t,b,k,f,n,k,s,o,o,o,p,i,g,j,n,k,f,b,n,c,e,s,r,h,h,k,r,e,r,t,g,o,c,f,t,q,i,f,s,o,a,i,e,t,q,s,h,a,i,m,n,t,k,d,l,r,q,k,f,a,g,h,o,j,m,j,g,h,q,h,e,m,p,c4
b,o,o,f,e,j,n,m,r,h,o,h,o,h,t,i,c,k,j,r,d,b,a,l,p,m,j,h,d,m,g,s,a,s,c,q,p,a,n,o,r,l,k,j,k,j,k,p,e,j,a,e,q,b,g,r,t,i,h,c,f,q,q,g,h,r,r,a,s,s,o,s,j,s,h,a,s,n,b,k,g,e,o,c,f,c,a,f,d,q,j,g,p,h,b,m,t,k,l,h,c4
g,f,o,i,q,t,c,a,q,a,t,s,i,t,j,j,i,n,f,k,n,g,o,r,e,j,k,h,j,l,k,c,f,d,g,m,f,p,i,m,e,l,c,t,b,q,a,h,t,f,i,p,t,b,f,n,p,t,p,r,t,e,e,b,f,m,r,t,g,p,t,a,g,l,f,f,c,s,b,f,m,f,m,i,l,c,c,t,i,j,c,p,t,m,c,a,i,s,r,s,c3
o,k,c,o,f,r,n,r,i,p,p,i,q,t,m,d,c,c,p,l,l,n,e,c,n,g,a,c,s,c,c,m,n,b,e,o,h,m,a,r,k,c,c,i,a,e,t,n,p,f,p,d,b,n,t,e,n,c,c,p,i,l,m,h,o,p,j,o,i,b,g,f,i,b,k,c,s,g,b,h,i,o,e,d,n,f,d,q,q,b,p,f,k,t,j,h,d,p,q,c,c2
m,p,c,n,h,s,t,d,a,d,m,l,s,m,e,d,o,l,p,a,l,s,p,g,a,g,a,m,q,c,q,m,l,p,j,m,d,l,o,m,b,l,s,f,p,s,b,m,h,r,p,h,b,c,a,g,n,i,h,p,e,a,n,q,l,n,c,p,h,b,h,m,g,i,j,g,f,p,o,k,r,l,h,d,f,p,r,n,n,f,g,r,e,l,i,k,c,j,n,c,c2
q,j,e,d,a,o,c,l,n,a,d,a,g,k,m,b,i,l,m,a,p,a,d,g,l,h,c,t,b,s,t,h,c,i,h,m,f,p,r,a,h,f,h,d,k,r,i,d,i,k,i,b,l,d,d,n,q,o,t,a,p,d,i,e,o,k,e,f,i,p,c,n,c,j,c,r,l,l,m,s,r,p,f,q,d,c,g,e,p,b,e,f,r,m,b,g,f,m,f,s,c3
d,o,g,e,s,d,o,j,d,t,o,r,t,i,k,c,h,q,m,q,m,t,g,f,l,j,m,n,q,n,j,l,n,b,b,k,i,h,n,g,s,d,s,t,a,n,e,e,q,m,a,r,p,k,l,m,m,h,f,d,j,e,c,d,d,c,s,s,b,l,a,s,g,m,r,s,h,e,i,q,s,s,l,m,l,c,a,h,d,d,d,d,j,d,h,c,m,c,b,s,c5
e,m,l,d,n,d,j,r,b,e,o,n,c,o,t,i,h,a,b,j,i,e,b,n,c,s,j,a,j,j,n,o,l,q,j,s,p,r,n,g,t,o,k,n,i,i,l,k,d,k,g,a,o,i,c,r,t,l,t,c,f,l,o,m,n,s,f,a,f,b,j,n,t,f,l,i,f,n,f,k,o,n,o,t,e,f,a,g,a,j,j,a,i,l,r,h,m,i,r,e,c4
r,i,c,f,t,j,k,c,h,d,n,o,s,k,n,d,e,o,p,c,l,s,h,k,j,g,f,n,k,c,h,m,j,r,n,t,o,a,s,i,k,o,l,s,r,j,a,b,p,h,p,i,o,r,p,p,n,c,g,a,e,r,l,f,i,k,o,e,f,m,c,q,r,r,p,r,k,p,g,s,f,s,n,d,s,i,t,f,l,d,m,n,b,b,m,q,h,h,f,c,c2
l,p,a,q,k,s,c,o,p,a,g,f,o,b,f,t,i,r,s,c,o,d,i,q,p,r,n,i,p,c,g,e,i,c,f,m,f,p,q,i,p,t,o,f,q,s,q,q,s,c,i,d,k,m,j,n,o,p,r,h,f,p,c,r,i,g,f,s,a,p,o,c,j,e,l,i,h,s,e,k,k,p,g,a,l,c,c,f,b,o,o,b,m,m,i,p,k,r,q,h,c3
d,o,s,o,j,k,d,d,d,t,r,i,h,f,s,e,l,q,d,l,l,o,g,c,c,j,j,i,b,f,b,t,s,l,c,r,s,a,k,g,d,d,l,j,b,f,a,s,t,k,g,t,g,r,l,k,e,c,d,q,e,d,b,f,t,r,h,c,l,t,o,h,o,d,f,s,g,t,j,g,p,n,b,c,m,q,i,a,f,a,d,h,b,o,q,m,m,d,b,t,c5
b,e,b,d,a,r,n,l,l,j,r,l,g,f,t,a,f,b,d,n,b,o,r,n,q,c,h,g,a,p,j,m,a,f,o,h,p,m,p,o,r,b,k,o,e,m,g,k,c,s,m,o,k,r,f,r,t,p,j,c,f,n,d,j,d,g,b,a,c,f,p,e,n,j,e,o,m,n,n,k,j,s,q,r,o,t,a,q,a,o,j,t,t,s,t,k,h,m,j,f,c4
j,e,c,b,r,f,c,k,b,a,t,i,r,o,c,s,i,q,n,o,q,s,p,b,d,q,m,m,l,e,r,l,h,d,c,m,f,p,n,j,l,j,m,t,g,d,d,c,c,c,i,r,l,h,t,n,d,t,c,m,b,j,i,p,c,b,l,f,q,p,r,g,i,g,f,i,f,m,q,i,e,q,m,b,o,c,j,q,p,j,e,d,m,m,k,s,l,q,e,l,c3
d,s,o,m,o,g,c,f,d,t,l,d,g,d,o,t,e,q,s,r,p,h,g,r,g,j,m,a,f,m,r,r,p,s,i,m,e,j,r,h,q,j,o,n,b,i,l,j,q,n,l,e,o,j,l,e,l,d,f,r,m,j,i,d,g,g,o,o,a,i,m,a,m,d,h,s,q,s,b,c,c,h,m,d,f,p,f,f,t,j,d,n,d,t,r,p,m,m,b,i,c5
d,i,o,q,l,m,h,s,d,a,t,t,d,e,t,c,q,i,k,p,o,b,b,h,t,i,p,d,f,n,k,q,e,o,k,t,e,n,l,l,a,b,k,a,f,r,m,h,h,l,k,b,n,i,f,r,t,r,k,c,f,h,l,q,k,m,g,a,o,p,t,c,f,a,s,o,f,n,n,k,n,p,h,r,n,p,a,l,j,b,j,m,h,g,r,s,t,r,c,b,c4
p,p,s,p,a,a,p,i,b,b,p,n,j,h,k,j,s,n,c,f,i,e,o,p,e,g,t,o,k,f,l,j,k,d,e,c,d,l,f,t,q,m,r,r,p,r,g,g,m,t,f,t,q,k,f,o,q,a,a,j,k,l,h,b,k,q,d,r,t,h,i,g,g,d,h,n,h,p,f,c,h,g,o,f,k,l,a,q,i,j,g,r,h,s,b,f,k,r,m,n,c1
e,h,c,p,t,r,e,e,i,d,q,k,s,f,d,d,m,s,p,f,l,b,l,k,s,g,r,i,d,c,f,m,d,h,o,a,c,b,f,m,d,f,c,s,f,h,b,r,n,b,p,b,n,j,c,a,n,f,e,b,h,m,e,l,d,r,d,f,d,t,m,r,d,g,j,t,q,l,m,k,q,m,o,d,n,e,j,t,g,p,g,m,n,f,l,i,s,q,p,c,c2
f,h,c,m,i,m,i,f,p,r,n,l,p,m,a,d,a,a,p,s,l,o,b,d,d,g,d,e,e,c,p,m,g,s,m,s,m,n,q,m,a,r,h,t,k,p,c,h,h,s,p,g,i,q,p,r,n,h,b,k,r,f,j,q,m,f,q,p,d,j,t,c,a,e,p,t,p,i,h,n,a,f,g,d,s,d,g,n,s,o,h,a,t,g,j,j,l,f,t,c,c2
d,l,a,o,e,h,k,a,d,t,q,h,l,s,e,d,s,q,s,e,p,i,g,e,c,j,q,n,e,f,b,t,h,l,i,h,n,s,m,c,t,t,n,f,b,i,b,l,k,d,g,g,o,c,l,a,a,f,b,k,n,i,c,p,k,l,m,k,q,e,t,t,k,p,n,s,q,t,e,d,t,t,t,c,i,j,h,s,m,h,d,r,k,b,l,n,m,f,b,t,c5
q,m,l,p,s,e,l,t,k,i,f,h,n,g,t,j,k,q,d,t,e,g,p,r,g,f,p,g,e,b,i,s,k,o,j,m,s,l,h,c,m,q,k,h,n,l,d,l,q,j,n,r,i,d,p,r,t,t,g,c,f,e,s,a,q,r,h,a,j,o,g,s,r,e,m,i,m,n,t,k,h,n,f,k,t,g,a,k,m,e,j,b,g,g,l,j,b,m,c,a,c4
n,b,c,n,f,a,j,j,d,t,p,g,r,b,e,d,a,s,p,k,l,t,s,f,g,g,o,t,q,c,f,m,a,i,n,h,a,t,j,a,i,k,f,o,o,b,d,g,g,d,p,f,g,m,e,o,n,k,h,s,l,t,t,n,e,g,f,s,n,e,p,k,k,l,c,b,l,j,g,n,h,a,e,d,e,h,i,t,c,g,b,h,d,n,k,k,t,b,j,c,c2
p,e,c,e,c,i,n,f,b,n,d,g,i,j,a,d,l,t,p,n,l,b,t,c,e,g,a,e,h,c,k,m,f,c,r,o,e,r,d,g,q,q,f,a,h,j,p,i,k,p,p,s,g,j,n,i,n,d,g,d,d,h,i,n,q,n,l,o,m,g,j,o,q,f,h,e,o,d,i,k,m,b,l,d,h,s,m,m,c,d,e,f,e,f,t,d,m,f,f,c,c2
n,q,c,c,c,n,c,o,k,a,k,j,a,a,h,k,i,l,t,p,e,k,r,d,e,o,q,m,k,f,e,h,n,b,s,m,f,p,j,r,q,p,n,s,r,t,g,l,i,e,i,m,d,j,c,n,j,a,s,i,d,i,d,f,p,q,i,r,e,p,k,o,c,p,t,a,s,m,f,i,d,h,k,h,a,c,l,q,s,c,m,h,c,m,q,a,a,o,t,f,c3
t,p,c,s,f,n,l,s,f,j,s,g,c,a,c,d,b,g,p,p,l,o,g,l,o,g,n,h,c,c,f,m,b,k,f,r,o,i,j,e,j,g,o,l,e,c,s,p,b,g,p,f,i,i,g,s,n,o,q,t,d,h,i,i,b,i,q,g,k,e,f,k,j,e,g,e,a,l,r,o,q,h,p,d,k,c,o,c,m,c,i,i,k,c,d,m,o,p,k,c,c2
d,l,s,o,q,p,d,l,d,t,e,c,o,e,q,t,q,q,q,p,e,c,g,k,d,j,k,n,j,s,o,i,o,g,d,i,h,b,b,e,t,q,j,d,c,k,m,a,l,p,d,g,f,m,l,d,d,i,a,j,i,h,a,r,q,n,q,f,k,i,o,l,f,e,l,s,t,p,c,s,k,n,k,s,s,c,q,e,d,s,d,q,a,e,p,l,m,p,b,l,c5
d,a,k,g,t,c,s,j,d,t,r,e,m,n,c,t,c,q,e,q,l,g,g,h,h,j,s,g,s,n,g,m,q,o,i,f,f,l,l,g,h,b,l,i,l,h,e,g,p,m,g,q,p,i,l,h,c,s,e,h,s,h,b,t,t,a,q,j,s,r,r,e,r,p,e,s,b,a,d,r,c,q,f,f,l,g,k,o,k,c,d,e,a,q,t,h,m,e,b,s,c5
b,n,m,j,t,k,o,j,c,r,r,k,l,s,d,k,s,n,e,s,c,i,m,k,r,p,h,o,k,g,s,j,r,t,o,t,p,f,f,f,h,p,n,n,n,b,g,r,t,t,o,h,i,a,i,p,d,d,a,j,s,a,s,f,p,d,h,r,t,o,n,r,k,t,k,a,n,k,r,m,j,i,n,f,s,r,c,b,d,q,s,g,c,m,l,k,r,f,t,g,c1
n,p,k,t,c,b,g,q,a,g,p,r,a,n,j,s,s,n,j,h,p,f,h,e,k,c,p,o,k,s,l,j,q,o,l,a,l,i,f,i,a,k,b,p,i,e,j,m,m,t,i,d,h,o,s,p,p,t,d,j,m,s,h,j,c,f,b,r,t,l,r,n,e,g,l,r,n,s,o,i,c,g,b,f,p,t,q,m,q,e,e,h,b,t,s,h,j,c,o,t,c1
p,o,r,l,l,i,o,f,h,i,f,j,e,n,d,b,s,n,h,s,s,l,l,a,b,r,c,o,k,d,i,j,q,h,b,r,d,t,f,q,k,q,a,j,k,l,c,k,p,t,k,q,s,s,k,n,b,i,b,j,l,k,q,h,c,c,r,r,t,q,g,j,k,p,o,c,a,f,e,t,m,e,o,f,t,b,t,b,l,e,m,m,e,t,b,e,f,e,a,d,c1
i,d,j,r,c,j,o,i,h,g,n,k,k,c,l,m,s,n,i,g,b,p,o,t,t,n,k,o,k,r,k,j,r,h,q,o,g,j,f,r,h,d,n,e,r,q,n,t,r,t,i,i,s,m,b,p,t,p,b,j,b,a,m,i,b,m,p,r,t,t,e,p,i,q,p,f,n,g,l,r,l,m,r,f,n,p,l,t,c,k,l,t,k,r,d,t,a,i,j,n,c1
