@relation data3

@attribute A {ar,v,d,ao,ae,an,r,as,p,ag,ax,w,n,u,ah,i,z,s,e,ab,aq,al,f,ad,aa,au,ai,t,m,ak,am,aw,q,ap,a,o,ac,af,l,at,h,c,aj,x,av,k,j,b,y,g}
@attribute B {i,al,ak,m,ax,t,ab,ao,aa,l,c,k,as,ah,ap,q,b,ac,v,x,j,af,ai,d,ae,o,ar,ad,u,an,y,n,at,aw,f,p,am,aq,h,av,g,r,a,w,s,au,e,z,ag,aj}
@attribute C {al,j,as,ak,b,r,g,o,ag,ah,p,an,m,ar,h,x,ad,ab,ao,q,f,ap,e,aw,ac,i,av,z,v,l,y,c,aq,aj,u,d,t,ai,w,at,ae,am,ax,n,a,s,aa,au,af,k}
@attribute D {aw,c,an,aa,f,q,m,y,o,ax,g,as,ak,ao,af,l,ag,at,aj,w,ai,u,av,ar,t,n,am,d,ae,ad,z,s,j,h,v,al,ab,ap,r,ac,i,e,a,b,x,ah,k,au,p,aq}
@attribute E {r,ah,g,al,p,ag,ad,af,j,h,ae,s,l,f,i,b,k,am,u,ak,ao,aa,ar,ac,v,c,e,aj,an,w,z,o,n,a,m,ab,aw,ap,ax,at,ai,y,au,q,x,aq,t,as,d,av}
@attribute F {av,v,ap,u,n,w,r,ax,ac,ab,ar,aa,o,ag,ah,a,al,h,m,s,j,p,e,y,af,au,ak,f,k,z,aq,aw,c,i,an,g,b,ai,at,d,as,q,am,x,ad,t,l,ao,ae,aj}
@attribute G {ax,an,t,j,s,p,at,c,v,ah,aj,ar,f,m,r,aa,w,l,a,e,y,i,ag,ap,u,af,au,ao,ae,x,ad,k,ai,am,ak,aq,ac,d,b,h,av,ab,aw,as,g,o,q,al,z,n}
@attribute H {d,g,p,f,av,aq,aw,q,ao,am,ak,ah,u,ab,x,ac,c,o,e,i,ai,ar,af,r,w,au,ad,ag,y,as,al,at,k,l,ax,n,b,a,h,t,aj,j,m,ap,ae,an,aa,z,v,s}
@attribute I {k,aj,q,r,am,n,au,v,av,d,b,ai,ak,f,z,an,l,u,i,ao,h,o,aq,g,ab,as,ad,c,ag,ar,a,af,ap,s,ax,aa,ac,w,j,aw,ah,p,t,at,m,y,al,e,x,ae}
@attribute J {ac,b,k,s,ag,av,v,ai,c,ap,ak,y,h,an,a,i,af,r,ab,j,am,aq,q,as,ax,w,d,z,m,o,at,ae,u,x,p,e,aw,ah,n,t,ar,aa,au,ao,aj,g,l,al,ad,f}
@attribute K {b,s,ad,o,ax,ac,r,g,ah,aw,ao,p,e,ak,a,av,aq,l,ai,ap,au,k,d,ab,n,w,v,af,z,as,y,c,u,m,at,x,ag,t,aa,h,ae,f,al,i,an,j,q,aj,am,ar}
@attribute L {r,z,g,u,ah,ar,n,aq,b,am,an,p,w,ax,ab,ak,l,at,ac,o,au,a,aw,j,aj,f,av,t,al,ap,x,h,d,ad,ao,c,as,af,y,m,i,ai,ae,ag,q,k,s,e,aa,v}
@attribute M {n,as,s,aj,b,ao,ar,t,j,ad,ax,z,ab,h,x,l,aw,g,an,ac,y,u,ag,w,p,ak,aa,ah,e,d,i,q,al,a,k,v,c,ae,am,o,m,av,f,at,aq,ap,r,af,ai,au}
@attribute N {o,y,ap,ac,al,x,ax,am,u,v,an,n,aj,ab,l,g,t,ar,ae,r,as,q,a,aw,z,ag,ad,ao,d,p,ai,aq,ak,af,b,k,f,m,c,aa,i,av,s,e,h,j,ah,w,au,at}
@attribute O {k,s,ab,o,av,i,r,v,g,aj,at,ah,a,c,j,e,u,al,h,f,ac,ar,as,ae,ax,au,aa,ai,y,m,aq,af,l,am,z,x,d,an,ag,ad,w,p,ao,n,q,ak,t,b,aw,ap}
@attribute P {am,ax,r,x,aw,ae,k,v,a,av,ak,s,q,b,aq,h,c,ao,at,ap,z,w,ai,d,an,al,t,aa,af,ac,g,ar,j,e,ah,ag,n,as,l,au,u,f,ab,ad,p,m,o,i,y,aj}
@attribute Q {ap,z,h,af,k,ax,aj,a,as,f,aq,ag,ab,w,v,j,u,ak,y,l,i,ai,e,m,ae,ad,x,o,aw,av,am,at,ao,t,r,ar,q,s,au,ac,ah,aa,p,n,an,g,d,b,c,al}
@attribute R {j,ax,ae,w,c,u,am,a,ar,z,ad,p,ak,an,v,h,i,s,g,o,au,ac,ao,ai,k,ah,aj,b,t,af,av,r,q,ap,l,aq,n,as,m,ab,y,aw,e,x,at,al,ag,d,aa,f}
@attribute S {aj,b,aa,d,aw,at,x,ab,ax,au,ag,ak,aq,ae,n,l,v,f,o,ah,as,e,an,ac,z,ad,h,u,k,w,s,y,j,r,i,ai,m,a,af,al,t,q,g,ar,ao,am,c,ap,av,p}
@attribute T {t,l,j,s,as,ak,aj,ap,r,a,aw,ag,o,ae,z,q,aq,y,f,w,ax,e,x,c,ad,b,at,v,am,ai,aa,av,ab,p,an,k,ah,ar,g,au,i,ac,m,ao,u,h,af,n,al,d}
@attribute U {ae,av,j,q,aq,r,d,al,ax,as,ah,aj,l,ag,aw,v,p,au,ac,ap,y,ak,s,k,af,x,a,e,z,i,ao,n,ad,ar,g,an,ai,ab,w,aa,m,b,u,c,am,t,at,o,f,h}
@attribute V {av,g,v,aa,ah,ac,aw,aq,t,x,aj,ag,al,e,s,ax,ak,w,am,l,ar,ai,h,i,ao,ad,ae,b,at,j,u,q,m,a,au,an,ap,d,k,as,f,af,o,z,r,p,c,ab,y,n}
@attribute W {ak,as,r,af,k,h,ab,n,m,i,q,j,ao,am,z,ae,ax,aw,a,p,f,an,at,y,o,ah,w,e,ac,d,l,x,aq,g,av,ai,ad,s,aj,al,t,ag,b,v,c,aa,au,u,ap,ar}
@attribute X {z,m,ag,d,ar,n,c,aj,l,o,s,ai,p,ao,y,f,t,ax,g,k,e,q,i,ap,ab,au,aq,j,aw,ak,at,h,an,ac,av,ae,v,al,r,b,x,af,am,ad,ah,as,w,aa,u,a}
@attribute Y {au,m,p,ax,ae,av,af,am,ak,g,an,c,aw,al,y,at,z,b,aj,ap,aq,j,ai,as,h,ar,x,d,ao,t,v,e,ah,s,l,o,ac,i,ad,a,r,ab,w,f,n,u,k,ag,aa,q}
@attribute Z {a,aw,c,x,al,n,v,ak,aa,ab,g,aj,ag,ai,r,e,i,q,p,h,b,ah,l,y,ar,w,ac,k,t,at,ax,an,u,as,d,au,aq,f,af,s,z,o,ao,ap,ad,ae,am,av,m,j}
@attribute [ {l,y,ao,aq,r,a,k,ae,j,av,g,ax,w,b,i,ag,ac,ak,q,h,z,c,af,v,ab,ar,o,f,ai,ap,aj,e,p,n,at,ad,t,d,u,au,aa,an,ah,s,m,am,aw,al,x,as}
@attribute '\\' {as,e,af,am,v,ap,x,g,o,a,ar,c,z,ag,al,n,l,b,ax,av,t,aw,at,p,aj,u,ak,w,h,s,ah,d,an,ae,m,q,aa,ad,aq,ai,f,y,ao,k,ac,ab,r,i,j,au}
@attribute ] {as,aj,n,u,h,s,d,ap,ab,v,ao,an,ar,c,r,y,x,au,ae,m,aw,a,am,al,af,z,aq,b,q,o,t,g,ac,aa,k,ad,ak,j,f,i,at,ah,l,ag,p,ax,e,ai,av,w}
@attribute ^ {v,w,y,al,f,ao,z,a,aa,aq,au,p,n,k,ae,l,s,h,aj,b,av,at,an,o,aw,ak,ab,ap,ad,ar,as,m,ag,j,ax,am,t,r,g,i,ai,c,d,x,e,ah,ac,q,af,u}
@attribute Class {c2,c4,c3,c1}

@data
ao,ac,e,q,am,w,aw,ab,q,ae,ad,g,ac,e,s,u,af,p,af,z,q,aj,y,d,p,c,ao,af,ar,al,c3
s,p,al,aw,r,aj,ax,v,ao,ah,at,aw,at,as,at,ac,au,ae,s,t,ae,av,ak,z,al,a,al,u,ai,ap,c2
u,u,al,aw,r,s,ax,ap,as,ah,ae,o,ar,g,ai,ar,aa,al,d,t,ae,av,ak,z,al,a,aw,r,an,k,c2
i,t,aw,o,d,ak,an,a,ar,s,v,z,as,x,s,ax,ac,g,b,ac,j,am,h,am,m,aw,y,e,af,am,c4
ag,ab,an,ae,ag,ak,av,u,d,ax,an,aq,m,aj,o,a,aj,at,at,ap,aq,i,e,ar,ap,y,j,o,ap,aa,c1
ak,ar,b,aq,ae,t,an,ax,ai,ag,as,z,as,y,s,ax,av,al,b,w,r,al,g,al,m,aw,y,e,ao,au,c4
v,ax,u,k,ag,ag,an,x,k,an,aw,z,as,p,s,ax,l,am,b,w,am,aw,aj,k,m,aw,y,e,l,au,c4
ag,ab,ab,k,ag,al,z,k,p,b,r,aq,t,ac,o,a,aj,x,ax,t,aq,ap,ax,ar,r,o,ap,ad,i,aa,c1
aa,q,al,aw,r,ax,ax,au,ak,b,ad,w,au,e,e,s,ah,aq,an,t,ae,av,ak,z,at,a,at,an,g,t,c2
ag,ab,f,m,ag,c,e,ax,k,ae,ad,aq,al,a,o,a,aj,ap,af,a,aq,ac,e,ar,a,ax,aw,c,u,aa,c1
ag,ab,y,f,ag,i,an,ad,ao,ae,w,aq,aq,ao,o,a,aj,ah,ah,aa,aq,y,g,ar,aa,ar,z,ag,a,aa,c1
ag,ab,e,x,ag,i,au,i,t,al,n,aq,at,at,o,a,aj,e,a,o,aq,au,aa,ar,e,ah,aj,o,ac,aa,c1
ag,ab,i,aa,ag,t,as,w,z,n,n,aq,ae,q,o,a,aj,am,ar,af,aq,f,j,ar,c,ag,y,as,ak,aa,c1
ag,ab,ao,m,ag,t,g,z,d,ac,d,aq,ab,aj,o,a,aj,s,x,e,aq,n,au,ar,at,ac,ao,ac,z,aa,c1
ao,aq,d,ap,j,c,an,x,q,ak,aq,g,r,ab,b,p,af,g,h,aq,q,ai,z,d,p,c,ao,af,at,ao,c3
ag,ab,ao,x,ag,an,am,f,l,ae,h,aq,u,n,o,a,aj,c,l,ah,aq,p,an,ar,z,p,at,x,ae,aa,c1
ao,l,r,i,k,ao,aq,aa,q,j,k,g,r,p,j,ao,af,at,ao,s,q,as,d,d,p,c,ao,af,at,r,c3
ag,ab,v,au,ag,c,c,g,x,h,au,aq,at,as,o,a,aj,i,v,ao,aq,z,ac,ar,at,a,ap,c,a,aa,c1
au,ap,al,aw,r,ar,ax,v,k,u,y,x,as,v,ad,q,am,ax,p,t,ae,av,ak,z,g,a,m,ao,af,n,c2
ag,ab,d,t,ag,am,m,n,ad,am,a,aq,an,l,o,a,aj,l,m,aw,aq,aa,ar,ar,x,q,g,as,j,aa,c1
ax,as,ao,w,ao,ab,an,t,at,ap,d,z,as,n,s,ax,ap,ax,b,ax,aj,u,ao,v,m,aw,y,e,x,q,c4
ag,ab,ax,ad,ag,y,av,c,u,c,aw,aq,t,ae,o,a,aj,al,c,l,aq,ah,d,ar,ac,af,s,ac,f,aa,c1
j,aj,al,aw,r,m,ax,ai,v,av,aw,ae,aw,k,p,f,ao,ah,as,t,ae,av,ak,z,au,a,av,q,ak,k,c2
ao,y,t,al,v,ah,w,ai,q,r,ai,g,ao,aw,n,ah,af,ag,ak,ai,q,at,f,d,p,c,ao,af,al,av,c3
ai,v,aa,aj,aj,ao,an,b,ad,n,s,z,as,aa,s,ax,ag,z,b,q,ax,o,ad,au,m,aw,y,e,i,ac,c4
ao,as,j,aq,af,b,au,am,q,s,aw,g,aa,ah,ap,w,af,a,r,h,q,ar,h,d,p,c,ao,af,k,o,c3
p,am,g,ax,k,n,an,as,ac,r,z,z,as,v,s,ax,e,g,b,z,ac,ab,k,q,m,aw,y,e,m,n,c4
ao,s,ai,d,w,c,m,b,q,an,a,g,e,f,t,j,af,ah,k,ax,q,r,h,d,p,c,ao,af,o,l,c3
ao,g,aq,ab,av,h,af,j,q,u,o,g,o,z,o,g,af,ar,ak,g,q,v,h,d,p,c,ao,af,ao,e,c3
ag,ab,n,ap,ag,av,aa,i,av,ar,ap,aq,ax,aw,o,a,aj,ad,al,an,aq,ah,w,ar,o,f,o,f,o,aa,c1
k,aj,aj,j,m,n,an,m,av,au,d,z,as,af,s,ax,v,o,b,z,ar,ae,ap,r,m,aw,y,e,q,h,c4
aw,h,aw,al,ax,at,an,z,am,j,an,z,as,m,s,ax,e,i,b,q,au,t,av,l,m,aw,y,e,at,z,c4
g,ax,x,as,ap,f,an,ac,d,ag,ah,z,as,ah,s,ax,aq,au,b,ak,b,al,ah,o,m,aw,y,e,au,aa,c4
ao,aw,aa,v,as,z,aa,a,q,ap,at,g,as,al,m,ah,af,e,ax,as,q,ad,n,d,p,c,ao,af,aj,ar,c3
f,ae,ah,f,av,ag,an,o,q,ap,an,z,as,ac,s,ax,ar,ad,b,f,m,am,n,q,m,aw,y,e,ak,g,c4
p,ac,al,aw,r,g,ax,al,t,q,h,ae,q,ab,z,w,at,g,ad,t,ae,av,ak,z,aq,a,t,ar,d,ak,c2
ag,ab,ao,i,ag,as,aa,ad,y,k,aa,aq,u,ab,o,a,aj,i,av,al,aq,aw,au,ar,ap,d,ah,h,ab,aa,c1
j,h,al,aw,r,ai,ax,g,j,ao,n,a,i,m,ag,ah,d,aa,v,t,ae,av,ak,z,n,a,ad,e,al,g,c2
ao,aa,h,at,aq,as,am,at,q,ag,l,g,a,u,i,u,af,n,a,f,q,v,ao,d,p,c,ao,af,j,ao,c3
ao,aq,aj,ai,n,q,v,i,q,m,o,g,ai,ag,ae,y,af,aq,q,q,q,o,ak,d,p,c,ao,af,q,ae,c3
as,ao,al,aw,r,e,ax,ac,ak,aq,aa,y,p,a,af,p,v,ac,aw,t,ae,av,ak,z,aa,a,af,t,q,q,c2
y,at,av,b,h,am,an,x,af,p,w,z,as,al,s,ax,q,af,b,ae,af,aq,l,ax,m,aw,y,e,an,aw,c4
ag,ab,p,aj,ag,z,m,t,aa,c,h,aq,ak,ai,o,a,aj,ak,av,ar,aq,l,d,ar,z,t,g,ad,q,aa,c1
ag,ab,ab,ab,ag,f,l,ag,q,ax,c,aq,b,u,o,a,aj,o,s,av,aq,p,z,ar,ag,ah,o,am,aj,aa,c1
n,aj,al,aw,r,ai,ax,ax,m,ah,q,l,a,ai,i,v,s,h,ap,t,ae,av,ak,z,ab,a,am,at,i,ak,c2
m,r,ax,y,h,r,an,ah,aw,i,y,z,as,au,s,ax,aw,ax,b,b,af,af,w,q,m,aw,y,e,at,au,c4
d,m,ap,q,z,au,an,p,ab,w,k,z,as,af,s,ax,r,w,b,t,ag,ap,h,av,m,aw,y,e,r,m,c4
ag,ab,k,as,ag,ao,w,as,at,y,i,aq,ax,d,o,a,aj,l,w,af,aq,ak,ah,ar,z,s,aa,f,ad,aa,c1
ag,ab,aa,g,ag,l,z,ax,ae,h,aq,aq,ah,j,o,a,aj,h,ae,z,aq,ag,ad,ar,a,ak,i,g,as,aa,c1
ak,x,v,am,z,v,an,ak,ag,aw,ar,z,as,an,s,ax,af,k,b,af,v,ah,aa,aj,m,aw,y,e,af,aq,c4
ag,ab,ai,ax,ag,f,s,q,g,x,b,aq,n,s,o,a,aj,ad,h,aq,aq,ac,ac,ar,c,x,av,am,aq,aa,c1
av,e,al,aw,r,aw,ax,aq,ar,ai,ak,at,ag,ar,q,v,aw,l,i,t,ae,av,ak,z,x,a,ad,au,g,n,c2
ag,ab,a,s,ag,av,h,as,av,w,af,aq,q,aw,o,a,aj,t,g,l,aq,k,p,ar,ax,aj,ar,n,c,aa,c1
ag,ab,ad,aa,ag,q,ai,y,ax,n,aw,aq,av,ab,o,a,aj,ae,au,g,aq,at,w,ar,au,aw,ax,w,al,aa,c1
ap,ax,ax,u,ao,ab,an,s,ax,at,b,z,as,m,s,ax,s,f,b,k,aq,q,t,x,m,aw,y,e,h,v,c4
an,at,ae,aq,e,am,an,aa,b,ad,ax,z,as,aq,s,ax,an,e,b,av,d,ac,s,ag,m,aw,y,e,au,r,c4
ar,k,al,aw,r,s,ax,ac,as,m,c,a,af,q,ad,af,am,a,i,t,ae,av,ak,z,af,a,g,ah,u,ak,c2
ag,ab,n,ax,ag,l,r,ai,ad,j,au,aq,aa,aq,o,a,aj,x,r,r,aq,h,au,ar,au,ah,ap,ak,ag,aa,c1
ag,ab,au,p,ag,m,ac,af,at,b,av,aq,i,g,o,a,aj,o,ag,ag,aq,aq,o,ar,x,ar,aj,ae,s,aa,c1
ag,ab,r,t,ag,d,ar,z,f,z,al,aq,aa,w,o,a,aj,ai,n,am,aq,au,ap,ar,p,v,ak,aa,d,aa,c1
o,l,as,aw,v,i,an,b,n,ag,au,z,as,d,s,ax,aj,u,b,v,m,h,x,at,m,aw,y,e,av,y,c4
ag,ab,e,f,ag,q,ae,av,a,aj,as,aq,y,ag,o,a,aj,v,n,j,aq,af,s,ar,aq,av,j,ag,ab,aa,c1
ao,ak,av,t,ac,e,b,ai,q,ag,k,g,v,w,ai,an,af,at,o,a,q,ak,ab,d,p,c,ao,af,af,aq,c3
ag,ab,aq,ah,ag,w,h,aa,x,v,ah,aq,ag,aq,o,a,aj,ap,d,ak,aq,r,ab,ar,d,i,aw,ao,t,aa,c1
ai,z,ax,b,i,d,an,ax,v,g,f,z,as,y,s,ax,h,a,b,g,as,i,r,ar,m,aw,y,e,ak,b,c4
ap,k,n,at,q,y,an,j,x,ad,al,z,as,ac,s,ax,ab,n,b,ac,q,aq,r,m,m,aw,y,e,as,b,c4
h,u,ar,aj,aj,y,an,ac,aw,p,b,z,as,t,s,ax,n,l,b,ab,am,u,x,af,m,aw,y,e,n,ad,c4
ao,m,al,g,i,y,z,g,q,ao,ao,g,ae,ai,ae,ar,af,ar,au,p,q,at,ad,d,p,c,ao,af,v,k,c3
aa,as,al,aw,r,al,ax,w,aa,y,as,n,t,n,av,q,d,h,ai,t,ae,av,ak,z,f,a,al,t,ap,ar,c2
ao,n,al,e,s,t,v,m,q,ae,am,g,z,aw,j,o,af,ad,v,ar,q,ax,ab,d,p,c,ao,af,m,e,c3
d,ad,d,am,f,q,an,a,ag,n,m,z,as,z,s,ax,k,an,b,o,aw,r,af,s,m,aw,y,e,p,ai,c4
ao,ao,ar,ax,d,at,b,as,q,ak,n,g,p,l,ae,af,af,ac,al,i,q,e,h,d,p,c,ao,af,i,w,c3
ag,ab,ar,h,ag,af,f,w,e,k,au,aq,am,ad,o,a,aj,y,ar,w,aq,ah,ab,ar,t,s,aa,ak,r,aa,c1
ag,ab,h,e,ag,z,h,z,ak,p,d,aq,af,aw,o,a,aj,n,au,ar,aq,ab,l,ar,as,j,d,au,g,aa,c1
ao,g,av,aj,g,au,q,t,q,a,w,g,ab,x,ab,au,af,d,av,o,q,w,f,d,p,c,ao,af,g,l,c3
h,as,al,aw,r,af,ax,as,t,t,i,au,t,a,ao,ap,y,ag,af,t,ae,av,ak,z,s,a,ar,ao,w,j,c2
ao,x,r,aa,ax,y,x,i,q,as,ax,g,aq,ai,ab,af,af,ae,v,ax,q,ae,v,d,p,c,ao,af,e,n,c3
n,k,y,j,an,h,an,aj,al,ao,ai,z,as,b,s,ax,l,b,b,f,b,ai,ag,aq,m,aw,y,e,af,j,c4
ag,ab,s,as,ag,g,d,al,aj,al,am,aq,ah,t,o,a,aj,aj,aw,p,aq,y,j,ar,ag,au,t,u,aq,aa,c1
ap,ai,c,al,ao,e,an,l,ai,z,i,z,as,c,s,ax,au,k,b,w,at,n,l,ar,m,aw,y,e,aq,au,c4
h,aq,m,d,p,y,an,g,d,as,ad,z,as,q,s,ax,y,ak,b,ax,c,c,y,ae,m,aw,y,e,ab,ax,c4
ag,ab,w,at,ag,ac,av,ag,j,an,l,aq,m,r,o,a,aj,z,aq,n,aq,ak,aq,ar,r,aa,h,au,at,aa,c1
l,n,al,aw,r,ar,ax,m,ao,s,ao,av,w,aq,o,x,j,au,x,t,ae,av,ak,z,ai,a,z,g,g,k,c2
g,u,al,aw,r,j,ax,ae,e,x,ad,e,ad,as,u,r,s,an,d,t,ae,av,ak,z,h,a,f,as,z,ao,c2
au,o,al,aw,r,aq,ax,ai,ap,ad,av,r,n,aw,s,ar,h,c,u,t,ae,av,ak,z,c,a,ap,ag,au,av,c2
ao,ah,am,av,ai,r,c,ap,q,al,s,g,n,f,ap,ab,af,aj,ak,i,q,d,w,d,p,c,ao,af,c,p,c3
ag,ab,av,ag,ag,av,p,i,ag,ah,aq,aq,h,t,o,a,aj,ao,aw,aa,aq,e,ae,ar,a,af,au,r,ac,aa,c1
ao,i,n,y,ai,f,b,ah,q,aa,ab,g,b,aa,av,g,af,as,ae,aw,q,y,i,d,p,c,ao,af,j,q,c3
ag,ab,at,am,ag,a,ai,z,af,ax,y,aq,l,w,o,a,aj,af,ai,o,aq,u,h,ar,y,y,x,a,aw,aa,c1
ao,ae,n,ax,i,aw,ar,f,q,ap,z,g,ag,ai,j,f,af,y,u,f,q,ae,k,d,p,c,ao,af,v,q,c3
ao,ao,av,aw,s,s,w,k,q,ah,av,g,aw,am,ab,ae,af,ao,ad,aj,q,a,af,d,p,c,ao,af,as,w,c3
x,av,p,at,u,y,an,g,t,e,w,z,as,al,s,ax,i,i,b,r,k,a,as,y,m,aw,y,e,aq,ah,c4
ao,ai,h,aw,b,s,s,ac,q,ao,c,g,s,m,v,ad,af,af,z,g,q,q,f,d,p,c,ao,af,aq,d,c3
n,aj,al,aw,r,ac,ax,ac,al,x,m,j,t,n,af,t,al,r,m,t,ae,av,ak,z,ag,a,c,ag,ak,w,c2
ao,ac,av,ac,ag,ag,an,q,ad,l,ac,z,as,ao,s,ax,aw,ae,b,r,j,q,i,f,m,aw,y,e,z,aa,c4
t,y,ad,al,ab,u,an,aa,d,h,f,z,as,r,s,ax,at,v,b,ae,aq,g,au,f,m,aw,y,e,r,ap,c4
l,i,l,f,e,aq,an,o,ax,e,ak,z,as,b,s,ax,p,aw,b,an,as,i,aw,aq,m,aw,y,e,u,ae,c4
af,p,al,aw,r,ab,ax,ab,ax,v,aa,k,u,ar,q,aa,t,l,au,t,ae,av,ak,z,t,a,ac,af,d,g,c2
ag,ab,au,j,ag,ax,j,am,aa,i,g,aq,ah,p,o,a,aj,ax,aj,ae,aq,s,ab,ar,b,d,ak,g,w,aa,c1
aw,e,al,aw,r,ap,ax,an,u,am,i,i,g,af,ad,f,j,ad,m,t,ae,av,ak,z,au,a,ab,j,at,c,c2
z,y,m,c,as,ai,an,q,aw,t,as,z,as,x,s,ax,au,as,b,z,x,q,av,ah,m,aw,y,e,ak,ab,c4
o,l,al,aw,r,r,ax,q,ad,ao,q,ad,a,ax,s,ae,q,w,af,t,ae,av,ak,z,ar,a,d,aa,av,c,c2
ag,ab,aj,y,ag,aq,s,ai,ab,ad,ai,aq,d,y,o,a,aj,w,s,q,aq,ax,d,ar,h,av,w,p,m,aa,c1
aa,w,z,n,ag,w,an,o,ae,ap,o,z,as,aw,s,ax,ar,e,b,aa,u,p,y,am,m,aw,y,e,q,w,c4
ag,ab,c,aj,ag,an,k,aj,al,o,ae,aq,o,ai,o,a,aj,d,at,ag,aq,at,l,ar,y,ah,ak,n,ax,aa,c1
ao,ai,aa,al,u,ad,a,n,q,o,aa,g,aa,aj,ao,g,af,u,p,n,q,g,ar,d,p,c,ao,af,o,am,c3
c,ag,al,aw,r,ar,ax,j,ap,m,a,t,t,y,ao,z,w,ax,ad,t,ae,av,ak,z,aw,a,ai,aa,af,i,c2
ao,ap,av,ai,ab,ab,an,am,g,e,aq,z,as,a,s,ax,g,a,b,av,o,ae,ap,n,m,aw,y,e,ar,x,c4
ag,ab,b,f,ag,ab,an,ab,ah,i,ad,aq,at,an,o,a,aj,i,n,af,aq,ak,ax,ar,ai,ak,ac,h,ar,aa,c1
ag,ab,o,aa,ag,an,ag,ab,i,r,b,aq,av,aq,o,a,aj,l,f,aa,aq,z,al,ar,l,n,e,ad,a,aa,c1
ao,d,r,a,ab,ah,aq,n,q,e,ai,g,j,s,u,v,af,ap,s,aq,q,z,ai,d,p,c,ao,af,z,at,c3
d,ar,i,ao,c,r,an,w,w,ai,as,z,as,ak,s,ax,ak,p,b,af,ab,af,h,m,m,aw,y,e,x,al,c4
ag,ab,am,ag,ag,o,aq,ad,ap,q,am,aq,t,ar,o,a,aj,ah,l,s,aq,n,g,ar,ad,q,t,ac,ar,aa,c1
ao,m,al,am,a,f,f,ai,q,am,q,g,c,ai,ao,q,af,a,ax,ae,q,x,aw,d,p,c,ao,af,j,x,c3
ax,g,c,ac,an,ap,an,m,v,an,q,z,as,l,s,ax,q,m,b,am,ab,ac,j,x,m,aw,y,e,i,ac,c4
ae,m,al,aw,r,b,ax,h,q,l,k,k,b,ae,ak,aw,av,ao,ag,t,ae,av,ak,z,ad,a,l,au,ax,al,c2
g,aa,as,d,ag,l,an,ap,j,at,e,z,as,aw,s,ax,af,v,b,a,q,am,ac,ah,m,aw,y,e,ao,s,c4
e,q,o,ab,ah,am,an,ah,ac,at,d,z,as,l,s,ax,ac,as,b,as,aj,k,ax,n,m,aw,y,e,d,aw,c4
ao,af,g,ax,ag,x,u,ab,q,aw,ag,g,g,ag,ai,au,af,s,m,s,q,b,an,d,p,c,ao,af,c,p,c3
ag,ab,au,x,ag,as,c,r,r,x,h,aq,e,ao,o,a,aj,x,z,k,aq,f,ab,ar,m,r,o,r,ax,aa,c1
ao,i,i,s,w,as,h,i,q,c,v,g,o,c,j,aw,af,ax,af,g,q,l,k,d,p,c,ao,af,al,au,c3
s,d,al,aw,r,ah,ax,aj,aq,af,i,at,as,ar,aj,av,aq,a,ah,t,ae,av,ak,z,ap,a,y,aj,ap,l,c2
ao,af,a,x,aj,s,i,as,q,an,al,g,h,av,g,ap,af,q,ax,au,q,i,ar,d,p,c,ao,af,af,ax,c3
ao,a,m,e,am,ao,am,ab,q,m,z,g,ai,u,aw,aj,af,aq,h,as,q,o,p,d,p,c,ao,af,k,at,c3
ao,q,g,an,b,f,av,i,q,aj,ar,g,am,w,t,f,af,l,n,d,q,aq,o,d,p,c,ao,af,q,am,c3
ak,ao,ax,au,e,q,an,e,af,m,ak,z,as,aq,s,ax,l,b,b,ag,ai,y,w,p,m,aw,y,e,n,ao,c4
ag,ab,am,ag,ag,ai,ab,u,s,au,ai,aq,p,ab,o,a,aj,s,ax,w,aq,w,r,ar,t,ar,s,au,af,aa,c1
ag,ab,w,d,ag,o,ae,ae,w,av,c,aq,j,as,o,a,aj,ab,ac,s,aq,ac,m,ar,al,d,w,m,y,aa,c1
ao,ah,al,aw,r,l,ax,p,z,i,an,ap,ak,t,q,af,r,p,ab,t,ae,av,ak,z,ad,a,o,ar,b,ap,c2
ag,ab,j,o,ag,aw,al,af,q,t,q,aq,o,a,o,a,aj,o,ae,aj,aq,aq,b,ar,j,ax,an,d,ab,aa,c1
ar,au,al,aw,r,ar,ax,t,ad,aw,u,ac,d,e,i,l,v,z,ai,t,ae,av,ak,z,ah,a,k,as,ae,x,c2
aa,ax,al,aw,r,ao,ax,ai,ak,r,ao,e,s,y,d,k,d,af,aq,t,ae,av,ak,z,ag,a,av,ag,ai,g,c2
aw,n,h,h,av,p,an,ab,t,r,ac,z,as,ab,s,ax,p,v,b,o,aj,n,i,p,m,aw,y,e,av,b,c4
ag,ae,al,aw,r,as,ax,i,s,ak,ar,ak,ab,a,ab,w,ae,al,aa,t,ae,av,ak,z,ai,a,af,u,j,r,c2
as,f,ah,c,u,ah,an,w,h,x,n,z,as,u,s,ax,d,ag,b,am,l,ak,i,a,m,aw,y,e,y,z,c4
aa,m,au,c,m,q,an,f,aa,n,q,z,as,c,s,ax,w,d,b,ah,aj,af,af,aj,m,aw,y,e,k,al,c4
c,ah,d,r,c,w,an,ao,u,am,b,z,as,aa,s,ax,au,aw,b,x,af,m,ar,h,m,aw,y,e,i,j,c4
ag,ab,ap,e,ag,ak,aj,a,j,ac,ac,aq,ag,e,o,a,aj,e,ao,aj,aq,w,aa,ar,m,l,g,p,s,aa,c1
ao,ak,ak,q,av,ab,ax,av,q,f,ad,g,ah,z,am,ad,af,w,at,av,q,b,ac,d,p,c,ao,af,q,t,c3
